engineer,merged_pr_count,merged_pr_volume_points,median_pr_cycle_hours,large_pr_share,authored_pr_review_coverage_pct,weeks_active,unique_prs_authored,domains_touched_inferred,domain_coverage_count,reviews_submitted,approvals_given,unique_authors_reviewed,review_weeks_active,unique_collaborators,momentum_raw,momentum_score,window_start,window_end,why,shipping_score,review_leverage_score,execution_flow_score,consistency_score,collaboration_score,impact_score_100,contributor_archetype
Azayed10,0.0,0.0,,0.0,,1.0,,general,0.0,1.0,0.0,1.0,1.0,1.0,1.5,0.0152788388082505,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.0,0.0321618037135278,,0.1666666666666666,0.0769230769230769,3.392730916818138,Mixed
Basit-Balogun10,0.0,0.0,,0.0,,0.0,,general,0.0,0.0,0.0,0.0,,0.0,,0.0,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.0,0.0,,0.0,0.0,0.0,Mixed
Classy-Bear,1.0,1.6094379124341005,1.3758333333333332,0.0,100.0,1.0,1.0,general,1.0,0.0,0.0,0.0,,0.0,2.0,0.0305576776165011,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,strong execution flow,0.0894736842105263,0.0,1.0,0.1666666666666666,0.0,19.656453969147467,Mixed
Daesgar,7.0,24.736829318965057,1.3730555555555557,0.0,100.0,4.0,7.0,"general,product_ops",2.0,8.0,6.0,6.0,4.0,6.0,11.5,0.320855614973262,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,strong execution flow,0.3763157894736841,0.2489332256948447,1.0,0.6666666666666666,0.4615384615384615,47.00341175836555,Mixed
EDsCODE,0.0,0.0,,0.0,,2.0,,general,0.0,7.0,7.0,3.0,2.0,3.0,4.5,0.106951871657754,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.0,0.1833266059278052,,0.3333333333333333,0.2307692307692307,11.293709505798311,Mixed
Fizza-Mukhtar,0.0,0.0,,0.0,,0.0,,general,0.0,0.0,0.0,0.0,,0.0,,0.0,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.0,0.0,,0.0,0.0,0.0,Mixed
Gilbert09,16.0,71.81187693034678,152.74097222222224,0.1875,100.0,7.0,16.0,"backend,data,frontend,general,infra",5.0,52.0,37.0,17.0,7.0,17.0,16.4,0.4705882352941176,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,"top-tier shipping impact, high review leverage, consistent weekly presence",0.881578947368421,1.0,0.35,1.0,1.0,81.40325077399379,Balanced
Greeva48,0.0,0.0,,0.0,,0.0,,general,0.0,0.0,0.0,0.0,,0.0,,0.0,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.0,0.0,,0.0,0.0,0.0,Mixed
GreyCrossX,0.0,0.0,,0.0,,0.0,,general,0.0,0.0,0.0,0.0,,0.0,,0.0,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.0,0.0,,0.0,0.0,0.0,Mixed
KevinRSDNguyen,0.0,0.0,,0.0,,0.0,,general,0.0,0.0,0.0,0.0,,0.0,,0.0,2025-08-28 23:32:32+00:00,2026-02-24 23:32:32+00:00,balanced contribution across multiple dimensions,0.0,0.0,,0.0,0.0,0.0,Mixed
