pr_number,pr_title,pr_url,state,created_at,updated_at,closed_at,merged_at,merged,additions,deletions,changed_files,author_login,labels,review_count_reported
48998,fix(ci): run oxfmt on affected files after kea typegen,https://github.com/PostHog/posthog/pull/48998,OPEN,2026-02-24T23:28:45Z,2026-02-24T23:35:15Z,,,False,3,0,1,mendral-app,,0
48974,fix(flags): load only referenced cohorts instead of all project cohorts,https://github.com/PostHog/posthog/pull/48974,OPEN,2026-02-24T19:59:08Z,2026-02-24T23:33:17Z,,,False,444,51,5,haacked,,2
48985,chore(web-analytics): Point reverse proxy CTA to the settings page,https://github.com/PostHog/posthog/pull/48985,MERGED,2026-02-24T21:29:53Z,2026-02-24T23:32:34Z,2026-02-24T23:32:32Z,2026-02-24T23:32:32Z,True,1,1,1,jordanm-posthog,,1
48992,fix: this was causing us to subscribe to livestream way more,https://github.com/PostHog/posthog/pull/48992,OPEN,2026-02-24T22:29:39Z,2026-02-24T23:31:23Z,,,False,74,86,3,pauldambra,,3
48380,feat: effective access level in the new UI,https://github.com/PostHog/posthog/pull/48380,OPEN,2026-02-18T22:11:50Z,2026-02-24T23:29:59Z,,,False,1457,1181,14,a-lider,,9
48978,feat(batch-import-worker): enable capture sink,https://github.com/PostHog/posthog/pull/48978,OPEN,2026-02-24T20:32:28Z,2026-02-24T23:29:13Z,,,False,61,33,4,z0br0wn,,9
48997,fix(endpoints): completed materialization hides latest error,https://github.com/PostHog/posthog/pull/48997,OPEN,2026-02-24T23:06:14Z,2026-02-24T23:27:46Z,,,False,35,1,2,sakce,,1
48501,feat: Add reverse proxy setup to product onboarding,https://github.com/PostHog/posthog/pull/48501,OPEN,2026-02-19T18:19:09Z,2026-02-24T23:27:23Z,,,False,402,97,23,rafaeelaudibert,,13
48995,fix: extract component so we can have easier conditional polling,https://github.com/PostHog/posthog/pull/48995,OPEN,2026-02-24T22:49:38Z,2026-02-24T23:27:16Z,,,False,56,52,2,pauldambra,,1
48991,feat(signals): Add signal input schema validation,https://github.com/PostHog/posthog/pull/48991,OPEN,2026-02-24T22:29:32Z,2026-02-24T23:26:48Z,,,False,652,45,7,Twixes,,1
48996,revert(): fix(slack): Add missing scopes,https://github.com/PostHog/posthog/pull/48996,OPEN,2026-02-24T23:00:32Z,2026-02-24T23:24:36Z,,,False,32,59,2,havenbarnes,,4
48993,fix(signals): Store video segment fetch result in Redis to avoid Temporal 2MB limit,https://github.com/PostHog/posthog/pull/48993,OPEN,2026-02-24T22:43:26Z,2026-02-24T23:24:05Z,,,False,269,56,12,Twixes,,3
48537,feat(signals): Auto-trigger clustering workflow when sessions SignalSourceConfig is created,https://github.com/PostHog/posthog/pull/48537,OPEN,2026-02-19T22:59:01Z,2026-02-24T23:18:12Z,,,False,205,64,10,Twixes,,7
48849,feat(signals): Merge signals debug features into Inbox,https://github.com/PostHog/posthog/pull/48849,OPEN,2026-02-23T23:55:15Z,2026-02-24T23:16:58Z,,,False,883,727,14,Twixes,,2
