pr_number,pr_author_login,reviewer_login,review_state,review_submitted_at,pr_merged,pr_merged_at,pr_created_at
48974,haacked,copilot-pull-request-reviewer,COMMENTED,2026-02-24T20:51:22Z,False,,2026-02-24T19:59:08Z
48974,haacked,greptile-apps,COMMENTED,2026-02-24T21:01:08Z,False,,2026-02-24T19:59:08Z
48985,jordanm-posthog,lricoy,APPROVED,2026-02-24T21:34:35Z,True,2026-02-24T23:32:32Z,2026-02-24T21:29:53Z
48992,pauldambra,greptile-apps,COMMENTED,2026-02-24T22:31:49Z,False,,2026-02-24T22:29:39Z
48992,pauldambra,jordanm-posthog,APPROVED,2026-02-24T22:32:57Z,False,,2026-02-24T22:29:39Z
48992,pauldambra,copilot-pull-request-reviewer,COMMENTED,2026-02-24T23:24:13Z,False,,2026-02-24T22:29:39Z
48380,a-lider,greptile-apps,COMMENTED,2026-02-20T14:33:32Z,False,,2026-02-18T22:11:50Z
48380,a-lider,ReeceJones,CHANGES_REQUESTED,2026-02-20T20:45:52Z,False,,2026-02-18T22:11:50Z
48380,a-lider,a-lider,COMMENTED,2026-02-23T12:58:24Z,False,,2026-02-18T22:11:50Z
48380,a-lider,a-lider,COMMENTED,2026-02-23T23:35:24Z,False,,2026-02-18T22:11:50Z
48380,a-lider,a-lider,COMMENTED,2026-02-24T00:04:41Z,False,,2026-02-18T22:11:50Z
48380,a-lider,a-lider,COMMENTED,2026-02-24T00:11:39Z,False,,2026-02-18T22:11:50Z
48380,a-lider,a-lider,COMMENTED,2026-02-24T00:24:03Z,False,,2026-02-18T22:11:50Z
48380,a-lider,graphite-app,COMMENTED,2026-02-24T14:32:45Z,False,,2026-02-18T22:11:50Z
48380,a-lider,ReeceJones,APPROVED,2026-02-24T20:50:16Z,False,,2026-02-18T22:11:50Z
48978,z0br0wn,z0br0wn,COMMENTED,2026-02-24T20:33:18Z,False,,2026-02-24T20:32:28Z
48978,z0br0wn,greptile-apps,COMMENTED,2026-02-24T20:35:05Z,False,,2026-02-24T20:32:28Z
48978,z0br0wn,z0br0wn,COMMENTED,2026-02-24T20:38:19Z,False,,2026-02-24T20:32:28Z
48978,z0br0wn,z0br0wn,COMMENTED,2026-02-24T20:41:43Z,False,,2026-02-24T20:32:28Z
48978,z0br0wn,nickbest-ph,CHANGES_REQUESTED,2026-02-24T21:18:28Z,False,,2026-02-24T20:32:28Z
48978,z0br0wn,nickbest-ph,COMMENTED,2026-02-24T21:43:11Z,False,,2026-02-24T20:32:28Z
48978,z0br0wn,greptile-apps,COMMENTED,2026-02-24T21:43:42Z,False,,2026-02-24T20:32:28Z
48978,z0br0wn,nickbest-ph,COMMENTED,2026-02-24T21:46:12Z,False,,2026-02-24T20:32:28Z
48978,z0br0wn,nickbest-ph,APPROVED,2026-02-24T21:50:59Z,False,,2026-02-24T20:32:28Z
48997,sakce,andrewjmcgehee,APPROVED,2026-02-24T23:27:46Z,False,,2026-02-24T23:06:14Z
48501,rafaeelaudibert,greptile-apps,COMMENTED,2026-02-19T18:22:16Z,False,,2026-02-19T18:19:09Z
48501,rafaeelaudibert,fercgomes,COMMENTED,2026-02-24T01:04:08Z,False,,2026-02-19T18:19:09Z
48501,rafaeelaudibert,fercgomes,COMMENTED,2026-02-24T01:04:50Z,False,,2026-02-19T18:19:09Z
48501,rafaeelaudibert,fercgomes,COMMENTED,2026-02-24T01:05:17Z,False,,2026-02-19T18:19:09Z
48501,rafaeelaudibert,fercgomes,COMMENTED,2026-02-24T01:05:25Z,False,,2026-02-19T18:19:09Z
48501,rafaeelaudibert,fercgomes,APPROVED,2026-02-24T01:05:48Z,False,,2026-02-19T18:19:09Z
48501,rafaeelaudibert,rafaeelaudibert,COMMENTED,2026-02-24T02:32:46Z,False,,2026-02-19T18:19:09Z
48501,rafaeelaudibert,rafaeelaudibert,COMMENTED,2026-02-24T02:33:18Z,False,,2026-02-19T18:19:09Z
48501,rafaeelaudibert,rafaeelaudibert,COMMENTED,2026-02-24T02:33:37Z,False,,2026-02-19T18:19:09Z
48501,rafaeelaudibert,rafaeelaudibert,COMMENTED,2026-02-24T21:36:38Z,False,,2026-02-19T18:19:09Z
48501,rafaeelaudibert,graphite-app,COMMENTED,2026-02-24T22:31:14Z,False,,2026-02-19T18:19:09Z
48501,rafaeelaudibert,graphite-app,COMMENTED,2026-02-24T23:15:27Z,False,,2026-02-19T18:19:09Z
48501,rafaeelaudibert,graphite-app,COMMENTED,2026-02-24T23:26:23Z,False,,2026-02-19T18:19:09Z
48995,pauldambra,greptile-apps,COMMENTED,2026-02-24T22:53:51Z,False,,2026-02-24T22:49:38Z
48991,Twixes,greptile-apps,COMMENTED,2026-02-24T22:37:39Z,False,,2026-02-24T22:29:32Z
48996,havenbarnes,greptile-apps,COMMENTED,2026-02-24T23:03:15Z,False,,2026-02-24T23:00:32Z
48996,havenbarnes,graphite-app,COMMENTED,2026-02-24T23:03:46Z,False,,2026-02-24T23:00:32Z
48996,havenbarnes,copilot-pull-request-reviewer,COMMENTED,2026-02-24T23:05:25Z,False,,2026-02-24T23:00:32Z
48996,havenbarnes,adboio,APPROVED,2026-02-24T23:05:57Z,False,,2026-02-24T23:00:32Z
48993,Twixes,greptile-apps,COMMENTED,2026-02-24T23:16:18Z,False,,2026-02-24T22:43:26Z
48993,Twixes,graphite-app,COMMENTED,2026-02-24T23:20:13Z,False,,2026-02-24T22:43:26Z
48993,Twixes,graphite-app,COMMENTED,2026-02-24T23:24:05Z,False,,2026-02-24T22:43:26Z
48537,Twixes,greptile-apps,COMMENTED,2026-02-20T22:35:00Z,False,,2026-02-19T22:59:01Z
48537,Twixes,graphite-app,COMMENTED,2026-02-22T23:50:14Z,False,,2026-02-19T22:59:01Z
48537,Twixes,graphite-app,COMMENTED,2026-02-23T00:19:47Z,False,,2026-02-19T22:59:01Z
48537,Twixes,graphite-app,COMMENTED,2026-02-23T17:47:39Z,False,,2026-02-19T22:59:01Z
48537,Twixes,oliverb123,APPROVED,2026-02-24T12:47:52Z,False,,2026-02-19T22:59:01Z
48537,Twixes,graphite-app,COMMENTED,2026-02-24T14:12:54Z,False,,2026-02-19T22:59:01Z
48537,Twixes,graphite-app,COMMENTED,2026-02-24T14:18:38Z,False,,2026-02-19T22:59:01Z
